Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Bo Naylor","CLE",67,230,11,33,32,5,0.130434782,0.230434782,0.232323232,0.266666666,0.237373737,0.339130434,0.469696969,0.34681004702264046,0.31,123.53543751544169,2.8916286122985184,9.377719670979726,7.0452799797058105,2.4169055426839554,"Bo Naylor",21865,666310
"Jarren Duran","BOS",102,362,8,46,40,24,0.066298342,0.248618784,0.186746988,0.381355932,0.295180722,0.346260387,0.48192771,0.3536086334122552,0.319,119.95613607998845,5.939434356987476,14.59544848494679,-3.239061251282692,2.3588902449861506,"Jarren Duran",24617,680776
"Brandon Belt","TOR",103,404,19,53,43,0,0.150990099,0.3490099,0.235988201,0.370165745,0.253687315,0.368811881,0.489675516,0.36903760628428117,0.337,138.2298954305856,-0.6167427068576217,17.88946382173604,-8.389859676361084,2.316031967822486,"Brandon Belt",10264,474832
"Bryan Reynolds","PIT",145,640,24,85,84,12,0.0828125,0.215625,0.196864111,0.303827751,0.263066202,0.3296875,0.459930313,0.33759118369006813,0.359,110.05376491221435,1.929859180469066,9.90112733199235,-8.816400051116943,2.2817855008633696,"Bryan Reynolds",19326,668804
"Leody Taveras","TEX",143,554,14,67,67,14,0.063176895,0.211191335,0.154598825,0.317708333,0.266144814,0.312159709,0.420743639,0.3159098880477047,0.32,97.59368768530582,3.656253119930625,2.058922975199127,1.9319774433970451,2.274916316176104,"Leody Taveras",18900,665750
"Orlando Arcia","ATL",139,533,17,66,65,1,0.073170731,0.191369606,0.155737705,0.301075268,0.264344262,0.320825515,0.420081967,0.3213181329041887,0.309,99.12765113412505,-2.093960416968912,-2.6699785150842885,7.3135799169540405,2.2732666759785536,"Orlando Arcia",13185,606115
"Tommy Edman","STL",137,528,13,69,47,27,0.066287878,0.159090909,0.150313153,0.274611398,0.248434237,0.306666666,0.39874739,0.3055740255890912,0.31,92.32172243179433,1.8024838780984282,-3.2199756907540884,7.863730192184448,2.25630054517163,"Tommy Edman",19470,669242
"Riley Greene","DET",99,416,11,51,37,7,0.084134615,0.274038461,0.158730159,0.384313725,0.288359788,0.348557692,0.447089947,0.3442904572360791,0.363,119.3904811969826,1.4447316876612604,11.110020740878284,-2.63168403506279,2.2548494411678823,"Riley Greene",25976,682985
"Jake Rogers","DET",107,365,21,47,49,1,0.076712328,0.323287671,0.223564955,0.268041237,0.220543806,0.285714285,0.444108761,0.31212839713463414,0.326,97.09832997346986,0.22315335646271706,-1.0458822785321762,10.894599914550781,2.218712758758723,"Jake Rogers",19452,668670
"Jason Heyward","LAD",124,377,15,56,40,2,0.090185676,0.169761273,0.203592815,0.290697674,0.269461077,0.339572192,0.473053892,0.34772832943351273,0.318,120.62318057048861,-0.8222065605223179,8.809776577499374,0.4246699810028076,2.201236032024428,"Jason Heyward",4940,518792
